date,precipitacion_unidadmedida,precipitacion_amazonas,precipitacion_arauca,precipitacion_atlantico,precipitacion_bogota,precipitacion_bolivar,precipitacion_caqueta,precipitacion_casanare,precipitacion_cesar,precipitacion_choco,precipitacion_guainia,precipitacion_guaviare,precipitacion_la guajira,precipitacion_magdalena,precipitacion_meta,precipitacion_narino,precipitacion_norte de santander,precipitacion_putumayo,precipitacion_quindio,precipitacion_risaralda,precipitacion_san andres providencia,precipitacion_sucre,precipitacion_vaupes,precipitacion_vichada,precipitacion_departamentos_represa
2023-05-28,mm,5.8420000000000005,13.0,48.77,2.21,49.1,2.7,50.656,0.62,1122.7,0.0,4.14,0.32,0.2,0.1,8.142,0.12000000000000001,2.8,25.035999999999998,21.708,1.4,7.3,12.28,0.0,689.8459999999999
2023-05-29,mm,3.4339999999999997,9.5,20.77,11.43,74.9,7.8999999999999995,115.75999999999999,27.91,1088.7,1.06,0.58,10.02,6.0,0.0,17.192999999999998,85.27,17.3,7.945,9.1,4.5,35.599999999999994,16.08,1.4,390.099
2023-05-30,mm,5.518000000000001,12.7,5.6,2.33,33.5,2.3,51.58,49.91,1089.8,0.2,9.120000000000001,6.699999999999999,2.8000000000000003,8.8,2.7720000000000002,16.93,17.8,34.641,40.617999999999995,0.0,9.5,0.02,47.8,882.3629999999999
2023-05-31,mm,0.22200000000000003,1.2,12.48,3.06,21.0,21.1,87.99000000000001,48.65,1125.8999999999999,27.9,2.36,34.22,4.3,11.6,129.374,5.3999999999999995,96.4,0.562,59.072,22.7,6.699999999999999,18.82,10.6,389.906
2023-06-01,mm,12.145999999999999,39.9,18.03,4.52,57.1,27.1,99.21000000000001,18.369999999999997,1037.1,5.6,0.8600000000000001,14.559999999999999,26.9,26.9,7.5360000000000005,3.55,14.7,56.117999999999995,122.28800000000001,0.4,2.7,2.6799999999999997,134.8,891.9339999999999
2023-06-02,mm,8.331999999999999,0.0,9.42,2.16,2.0,2.0,11.835,1.6,1099.3,7.159999999999999,7.68,0.55,3.7,25.2,0.41400000000000003,16.31,20.5,2.881,9.1,4.0,4.8,12.419999999999998,42.2,155.04300000000003
2023-06-03,mm,10.495999999999999,0.0,12.56,2.46,2.8,0.0,28.073999999999998,0.5,1115.8999999999999,0.0,4.0,9.399999999999999,7.3,33.4,0.349,3.2,2.0,3.463,0.0,0.0,4.8,7.219999999999999,0.0,51.892999999999994
2023-06-04,mm,3.4339999999999997,6.7,15.34,2.73,167.1,29.7,36.056,2.62,1083.1,2.6,2.2399999999999998,0.75,40.3,0.2,1.823,1.7,38.5,38.712,7.6,0.0,33.699999999999996,0.82,15.2,445.112
2023-06-05,mm,1.0859999999999999,30.8,2.66,20.62,1.5,11.0,196.10000000000002,17.099999999999998,1024.6999999999998,0.0,10.719999999999999,4.37,0.9,9.3,2.945,54.57,8.4,4.618,14.599999999999998,5.0,3.5,2.0599999999999996,23.9,1031.365
2023-06-06,mm,1.702,3.8,3.1900000000000004,1.54,4.2,75.6,11.11,11.9,1067.7,0.0,0.42000000000000004,0.26,2.6,11.4,5.981,0.8200000000000001,54.2,5.015,39.362,0.1,5.8,8.419999999999998,0.0,265.848
2023-06-07,mm,0.062,16.4,46.11,0.57,2.5,0.1,55.015,0.1,1107.3,0.0,4.0600000000000005,0.37,1.2,0.0,1.103,5.2,0.0,2.301,0.5,1.1,5.5,0.76,5.4,236.72299999999998
2023-06-08,mm,1.506,38.2,140.94,0.41,140.70000000000002,40.8,164.81,49.09,967.6999999999999,12.08,7.040000000000001,27.41,74.60000000000001,0.1,0.685,5.51,5.9,3.952,25.774,0.0,73.2,3.56,67.9,614.873
2023-06-09,mm,2.232,15.4,0.5800000000000001,1.33,5.4,2.4,12.799999999999999,0.3,1151.2,3.960000000000001,6.1,0.48,0.3,7.12,8.024,0.0,1.8800000000000001,3.059,0.0,2.3,3.8000000000000003,8.399999999999999,0.0,127.091
2023-06-10,mm,2.8820000000000006,1.8,39.02,3.64,25.3,17.6,18.2,27.0,1091.6,8.42,5.74,0.26,40.9,9.38,4.3,0.0,4.9,3.498,0.0,0.5,47.7,16.999999999999996,0.0,208.20000000000002
2023-06-11,mm,4.458,8.6,2.2800000000000002,2.85,2.0,13.5,43.33,0.52,1106.5,0.1,4.4399999999999995,0.15,0.3,1.08,2.733,0.16,7.26,3.302,0.0,4.6,4.2,7.2,25.8,200.35999999999999
2023-06-12,mm,11.761999999999999,2.7,14.780000000000001,2.15,5.2,0.6,43.83,0.2,1012.6,3.18,4.0,0.0,7.199999999999999,1.26,0.022,1.72,7.459999999999999,2.415,0.0,67.1,5.3,1.46,0.0,57.552
2023-06-13,mm,0.776,0.0,3.7,0.83,2.3,32.1,44.400000000000006,0.0,1138.4,0.0,5.74,0.0,1.3,0.1,0.0,0.0,11.9,0.966,0.4,2.6,4.9,16.58,0.0,177.0
2023-06-14,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2023-06-15,mm,12.214000000000002,12.1,6.6000000000000005,0.35,28.200000000000003,103.8,813.86,0.08,1053.9,3.6400000000000006,5.34,0.0,4.2,12.9,4.987,0.30000000000000004,58.9,0.373,26.900000000000002,15.8,12.6,4.459999999999999,2.5,784.196
2023-06-16,mm,0.08399999999999999,48.2,19.810000000000002,1.37,161.8,10.0,262.271,0.0,1072.1999999999998,8.280000000000001,0.9199999999999999,0.0,27.400000000000002,4.0,0.638,15.99,10.3,3.091,28.1,27.7,37.4,3.4799999999999995,139.3,475.33299999999997
