date,unidadmedida,amazonas,antioquia,arauca,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,san andres providencia,santander,sucre,tolima,valle del cauca,vaupes,vichada
2021-02-10,mm,0.0,224.51399999999998,14.399999999999999,12.03,20.1,8.96,233.92000000000002,35.199999999999996,35.2,1.4,103.5,0.0,1009.3,3.7,278.084,0.0,5.676525821596243,100.7,0.0,0.44999999999999996,4.98,52.485,24.72,0.2,36.3,46.164,0.0,112.7,11.600000000000001,231.4,414.326,0.0,7.151162790697675
2021-02-11,mm,2.1,254.42400000000004,7.6,13.35,0.0,3.2800000000000002,34.98,12.1,10.6,0.8,10.5,0.0,1010.1999999999999,0.1,51.699999999999996,0.0,5.676525821596243,26.3,0.01,5.25,8.8,43.367999999999995,0.9,4.4,13.1,7.6,8.027886872998934,41.56,7.0,10.700000000000001,27.5,0.0,7.151162790697675
2021-02-12,mm,12.37,232.426,6.9,13.33,3.3,2.08,78.2,236.5,0.0,1.2,32.6,0.0,1098.2,0.2,151.53,21.6,5.676525821596243,135.5,0.0,0.6,0.38,53.705999999999996,0.6,12.8,83.0,285.264,8.027886872998934,76.58,8.2,63.0,402.486,0.0,7.151162790697675
2021-02-13,mm,2.88,236.017,8.5,13.09,0.0,3.83,301.2,46.5,0.0,0.6,15.399999999999999,0.35,993.3,0.2,150.308,0.0,5.676525821596243,2.0,0.02,3.03,0.0,3.1,9.1,0.4,1.5,11.479,8.027886872998934,123.78,7.1,162.6,14.573999999999998,0.5,7.151162790697675
2021-02-14,mm,8.18,260.202,9.9,11.52,26.22,12.28,170.4,25.099999999999998,0.0,0.2,12.6,3.37,1030.7,0.4,118.262,0.0,5.676525821596243,44.9,0.0,14.0,0.0,0.1,31.95,0.2,8.3,59.196,8.027886872998934,147.86,6.0,24.7,125.9,0.6,7.151162790697675
2021-02-15,mm,1.0,222.905,6.5,13.57,2.51,3.1599999999999997,36.0,42.3,6.2,1.2,110.8,0.0,982.5,2.2,77.2,0.0,5.676525821596243,231.3,0.0,3.7700000000000005,0.0,58.0,20.799999999999997,32.4,21.7,0.5,8.027886872998934,10.3,6.6,58.099999999999994,159.873,0.0,7.151162790697675
2021-02-16,mm,0.8899999999999999,244.50000000000003,13.700000000000001,23.08,0.73,26.47,155.0,13.4,2.9,3.2,151.8,0.0,1005.5,23.8,181.017,0.0,5.676525821596243,66.3,0.0,1.7400000000000002,1.6,60.891,5.2,0.6,0.3,7.995,4.0,121.26,8.299999999999999,45.9,53.1,0.0,7.151162790697675
2021-02-17,mm,7.85,261.947,8.5,12.76,0.0,0.4,49.57,99.7,1.7,2.0,102.7,0.0,1073.3999999999999,2.3,61.4,0.1,5.676525821596243,39.699999999999996,0.0,0.7,0.0,38.9,16.05,0.0,68.89999999999999,58.213,0.0,81.72,3.6,10.0,101.39999999999999,0.0,7.151162790697675
2021-02-18,mm,0.4,315.49199999999996,8.9,11.95,0.0,0.0,20.6,231.6,0.0,0.2,83.69999999999999,0.0,1015.0,0.1,210.725,0.0,5.676525821596243,149.4,0.2,1.4300000000000002,0.51,15.044,0.0,29.2,43.8,96.191,0.0,2.14,7.1,108.2,256.0,0.0,0.0
2021-02-19,mm,20.13,263.853,10.899999999999999,7.57,2.3,0.6,34.11,126.4,3.8,2.6,33.4,0.0,987.1999999999999,0.0,166.77700000000002,0.0,5.676525821596243,258.5,0.0,1.0899999999999999,1.6,44.965,0.0,2.2,16.0,72.877,0.0,10.34,13.299999999999999,200.1,419.40000000000003,0.0,0.0
2021-02-20,mm,1.88,332.947,6.800000000000001,11.1,0.0,7.4,19.200000000000003,170.79999999999998,0.0,1.3,20.2,0.0,1050.1,8.200000000000001,480.2,0.0,5.676525821596243,103.8,0.1,1.51,0.66,34.3,0.1,0.4,59.099999999999994,90.275,9.0,28.779999999999998,37.6,101.2,111.0,0.0,7.151162790697675
2021-02-21,mm,0.9,190.642,9.8,9.66,0.0,0.0,31.0,17.0,0.0,1.7,117.80000000000001,0.0,996.1,0.6000000000000001,306.7,1.2,5.676525821596243,132.4,0.0,0.9,1.6,15.599999999999998,15.850000000000001,0.2,21.3,26.101,0.1,17.0,7.0,73.4,81.6,0.0,7.151162790697675
2021-02-22,mm,0.0,272.411,14.8,13.67,1.2,0.4,83.5,145.0,0.0,2.9,124.10000000000001,0.0,995.8,0.30000000000000004,124.92399999999999,0.0,5.676525821596243,276.59999999999997,0.1,0.8,7.6000000000000005,107.238,1.39,18.200000000000003,63.4,90.324,4.0,52.120000000000005,7.3999999999999995,110.69999999999999,223.947,0.0,7.151162790697675
2021-02-23,mm,47.67,287.74,10.3,7.95,0.0,0.0,56.1,43.2,3.1,1.4,10.9,0.0,1032.2,0.0,37.34,0.5,5.676525821596243,4.4,0.0,0.45,0.4,12.4,1.4,4.0,1.0,26.447,5.2,84.36,6.9,1.8,42.4,1.3,7.151162790697675
2021-02-24,mm,3.4,258.379,46.6,11.45,6.9,0.0,160.5,0.1,22.9,2.1,16.9,0.0,996.0,126.10000000000001,1086.383,1.8,5.676525821596243,43.5,0.0,0.7,8.67,121.656,9.6,66.4,0.0,36.073,0.3,76.68,5.6,5.2,48.6,0.8,0.7
2021-02-25,mm,18.92,253.957,44.0,14.74,8.620000000000001,0.0,231.9,29.2,8.1,12.1,57.6,0.0,1031.3,150.2,1508.88,1.1,5.676525821596243,13.100000000000001,0.0,0.9,3.8,153.03799999999998,13.4,7.2,0.8,19.997,0.1,68.96,6.1,19.0,105.411,0.0,7.151162790697675
2021-02-26,mm,51.34,290.267,46.9,8.63,23.060000000000002,14.6,319.5,403.79999999999995,59.6,8.4,10.3,0.0,1029.5,105.10000000000001,1713.417,0.0,5.676525821596243,16.0,0.0,1.6,2.8,263.277,25.830000000000002,9.0,37.6,60.597,1.3,167.9,6.6,27.4,162.679,2.4,7.151162790697675
2021-02-27,mm,70.45,283.12399999999997,44.300000000000004,8.97,39.53,0.2,303.8,121.5,11.0,10.8,109.7,0.0,1070.8,140.1,1854.659,13.7,5.676525821596243,85.9,0.2,0.8999999999999999,3.0,178.505,41.03999999999999,1.0,94.9,94.11699999999999,0.0,122.3,7.0,181.7,345.273,1.0,7.151162790697675
2021-02-28,mm,13.36,279.166,43.4,13.26,2.8000000000000003,0.2,253.79999999999998,62.599999999999994,0.7,2.9,64.7,0.0,1041.9,327.5,1665.6,0.2,5.676525821596243,128.5,0.0,0.2,0.0,300.378,6.24,13.4,117.0,31.912,0.1,38.56,5.5,83.2,197.514,0.9,7.151162790697675
2021-03-01,mm,57.64,386.76300000000003,49.400000000000006,0.97,22.03,0.0,287.7,238.1,0.0,3.1,175.2,0.0,1056.9,156.7,1844.387,0.0,5.676525821596243,331.3,0.0,0.5,1.6,175.844,0.2,13.0,322.6,136.22899999999998,0.0,80.69999999999999,4.4,191.3,609.069,0.0,7.151162790697675
2021-03-02,mm,32.35,311.178,54.5,14.25,13.32,3.1,433.1,64.6,3.0,1.0,30.0,0.0,1047.6,128.2,1643.905,0.0,5.676525821596243,147.6,0.0,0.6,0.2,119.28,0.0,12.6,171.6,89.603,0.0,49.22,6.6,150.6,332.344,0.0,7.151162790697675
2021-03-03,mm,6.61,236.52499999999998,46.3,4.51,2.9,12.7,332.1,79.3,2.2,2.8,73.80000000000001,0.0,1050.1,189.7,1712.3999999999999,0.0,5.676525821596243,170.4,0.0,1.3,0.0,199.3,0.0,3.8,42.6,67.6,0.0,93.0,6.0,144.2,129.856,0.0,7.151162790697675
2021-03-04,mm,3.3200000000000003,290.235,58.3,10.3,4.88,12.2,332.0,189.70000000000002,2.6,0.7,44.5,0.0,1007.8,140.1,1910.0,11.9,5.676525821596243,73.4,0.0,0.6,0.0,161.077,12.0,0.2,189.39999999999998,101.0,6.4,7.92,5.7,82.4,51.2,0.1,7.151162790697675
2021-03-05,mm,4.2,248.97899999999998,42.7,11.84,4.4,18.3,264.8,60.199999999999996,8.2,0.0,63.6,0.0,1002.3,96.0,1681.8,5.1,5.676525821596243,191.6,0.0,10.870000000000001,1.05,173.912,0.8,2.0,38.7,36.1,0.0,37.44,5.8,66.6,36.098,0.0,7.151162790697675
2021-03-06,mm,9.1,278.591,56.900000000000006,12.42,2.8000000000000003,18.4,422.6,75.39999999999999,3.3000000000000003,80.9,0.1,0.0,959.9,169.4,1610.328,8.8,5.676525821596243,16.8,0.0,13.45,63.53,156.41,1.16,1.8,6.7,33.4,0.0,111.3,5.7,3.4,28.579,2.3,7.151162790697675
2021-03-07,mm,66.67,422.61699999999996,71.6,13.73,5.07,13.399999999999999,401.1,141.4,29.0,42.4,53.4,0.0,1061.5,94.4,1425.8229999999999,8.9,5.676525821596243,70.1,0.0,11.950000000000001,3.2199999999999998,107.487,30.79,9.6,5.0,42.592999999999996,0.1,64.56,7.2,36.699999999999996,18.226,0.0,7.151162790697675
